lakeid,trans,dist,setdate,coldate,daysout,aran_other,lyco_pal_m,lyco_pal_f,lyco_hyp_m,lyco_hyp_f,lyco_sph_m,lyco_sph_f,lyco_alp_m,lyco_alp_f,lyco_unid_m,lyco_unid_f,lyco_juv,lyco_total,egsa,liny,gnap,thom,opil,acar_other,trom,acar_total,cole_other,cryp,stap,cara,curc,colj,clmb,comments,comments 2
myv,kal2,5,2008-06-10,2008-06-26,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,6,0,0,22,91,NA,91,0,NA,121,18,NA,0,85,,No comments/notes section in original data
myv,kal2,50,2008-06-10,2008-06-26,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,7,1,1,18,97,NA,97,0,NA,42,31,NA,0,54,,No comments/notes section in original data
myv,kal2,150,2008-06-10,2008-06-26,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,0,10,1,0,49,28,NA,28,3,NA,21,6,NA,0,162,,No comments/notes section in original data
myv,non,5,2008-06-10,2008-06-26,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,0,0,19,116,NA,116,72,NA,0,0,NA,0,5,,No comments/notes section in original data
myv,non,50,2008-06-10,2008-06-26,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,15,0,2,12,32,NA,32,2,NA,12,2,NA,1,69,,No comments/notes section in original data
myv,non,150,2008-06-10,2008-06-26,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,6,2,0,6,16,NA,16,0,NA,2,1,NA,0,34,,No comments/notes section in original data
myv,hag,5,2008-06-17,2008-07-07,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,8,0,0,2,65,NA,65,24,NA,16,3,NA,1,28,,No comments/notes section in original data
myv,hag,50,2008-06-17,2008-07-07,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,1,1,0,16,55,NA,55,0,NA,4,1,NA,0,24,,No comments/notes section in original data
myv,hag,150,2008-06-17,2008-07-07,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,6,5,0,7,42,NA,42,0,NA,0,0,NA,0,47,,No comments/notes section in original data
myv,hag,500,2008-06-17,2008-07-07,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0,13,1,0,8,36,NA,36,0,NA,0,8,NA,0,24,,No comments/notes section in original data
myv,btl,5,2008-06-17,2008-07-08,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,7,0,15,21,NA,21,0,NA,34,16,NA,0,64,,No comments/notes section in original data
myv,btl,50,2008-06-17,2008-07-08,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0,8,2,0,57,33,NA,33,3,NA,28,7,NA,0,30,,No comments/notes section in original data
myv,btl,150,2008-06-17,2008-07-08,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,5,5,1,0,40,62,NA,62,26,NA,13,5,NA,0,21,,No comments/notes section in original data
hel,hel1,5,2008-07-10,2008-07-25,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,5,0,0,12,32,NA,32,0,NA,2,0,NA,0,184,,No comments/notes section in original data
hel,hel1,50,2008-07-10,2008-07-25,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,,No comments/notes section in original data
hel,hel1,150,2008-07-10,2008-07-25,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,11,1,0,1,28,NA,28,0,NA,0,1,NA,0,44,,No comments/notes section in original data
hel,hel1,500,2008-07-10,2008-07-25,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,5,0,0,2,108,NA,108,0,NA,0,0,NA,0,15,,No comments/notes section in original data
hel,hel2,5,2008-07-10,2008-07-25,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,0,0,3,7,NA,7,0,NA,0,2,NA,0,50,,No comments/notes section in original data
hel,hel2,50,2008-07-10,2008-07-25,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,0,5,27,NA,27,0,NA,0,0,NA,0,54,,No comments/notes section in original data
hel,hel2,150,2008-07-10,2008-07-25,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,6,1,1,0,82,NA,82,0,NA,0,0,NA,0,45,,No comments/notes section in original data
hel,hel2,500,2008-07-10,2008-07-25,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,4,4,0,12,45,NA,45,0,NA,0,0,NA,0,95,,No comments/notes section in original data
myv,btl,5,2008-07-08,2008-07-26,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,12,0,0,14,28,NA,28,0,NA,10,6,NA,12,69,,No comments/notes section in original data
myv,btl,50,2008-07-08,2008-07-26,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,0,1,10,55,NA,55,0,NA,0,1,NA,6,20,,No comments/notes section in original data
myv,btl,150,2008-07-08,2008-07-26,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,3,0,4,22,152,NA,152,1,NA,2,3,NA,17,31,,No comments/notes section in original data
myv,hag,5,2008-07-07,2008-07-26,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,0,0,49,110,NA,110,12,NA,18,11,NA,14,0,,No comments/notes section in original data
myv,hag,50,2008-07-07,2008-07-26,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2,4,0,1,9,105,NA,105,0,NA,2,1,NA,0,15,,No comments/notes section in original data
myv,hag,150,2008-07-07,2008-07-26,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,2,4,0,2,96,NA,96,0,NA,0,0,NA,0,23,,No comments/notes section in original data
myv,hag,500,2008-07-07,2008-07-26,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,x,25,0,1,51,73,NA,73,0,NA,0,1,NA,0,41,,No comments/notes section in original data
myv,kal,5,2008-07-08,2008-07-26,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,39,0,0,25,74,NA,74,0,NA,27,2,NA,0,125,,No comments/notes section in original data
myv,kal,50,2008-07-08,2008-07-26,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,x,7,9,1,0,111,NA,111,0,NA,1,0,NA,0,27,,No comments/notes section in original data
myv,kal,150,2008-07-08,2008-07-26,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,8,11,4,0,5,135,NA,135,1,NA,2,0,NA,0,11,,No comments/notes section in original data
myv,non,5,2008-07-08,2008-07-26,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,24,0,0,5,85,NA,85,0,NA,19,25,NA,6,62,,No comments/notes section in original data
myv,non,50,2008-07-08,2008-07-26,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,2,3,2,92,NA,92,0,NA,12,1,NA,2,34,,No comments/notes section in original data
myv,non,150,2008-07-08,2008-07-26,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,x,6,0,3,1,155,NA,155,0,NA,0,1,NA,0,30,,No comments/notes section in original data
myv,vin,5,2008-07-07,2008-07-26,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,4,0,0,0,38,NA,38,0,NA,10,1,NA,4,53,,No comments/notes section in original data
myv,vin,50,2008-07-07,2008-07-26,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,54,0,0,105,60,NA,60,1,NA,17,18,NA,0,231,,No comments/notes section in original data
myv,vin,150,2008-07-07,2008-07-26,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,,No comments/notes section in original data
myv,vin,5,2008-07-26,2008-08-02,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,3,0,0,17,33,NA,33,0,NA,5,1,NA,4,45,,No comments/notes section in original data
myv,vin,50,2008-07-26,2008-08-02,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,5,0,0,9,72,NA,72,1,NA,4,1,NA,0,113,,No comments/notes section in original data
myv,vin,150,2008-07-26,2008-08-02,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,6,0,1,26,151,NA,151,0,NA,5,1,NA,0,24,,No comments/notes section in original data
hel,hel1,5,2008-07-25,2008-08-05,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,7,3,0,14,27,NA,27,0,NA,3,0,NA,0,84,,No comments/notes section in original data
hel,hel1,50,2008-07-25,2008-08-05,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,3,2,0,0,31,NA,31,0,NA,0,0,NA,0,31,,No comments/notes section in original data
hel,hel1,150,2008-07-25,2008-08-05,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,5,1,1,1,19,NA,19,0,NA,0,0,NA,0,63,,No comments/notes section in original data
hel,hel1,500,2008-07-25,2008-08-05,7,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,6,0,3,99,NA,99,0,NA,0,0,NA,0,19,,No comments/notes section in original data
hel,hel2,5,2008-07-25,2008-08-05,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0,2,0,0,7,4,NA,4,0,NA,0,0,NA,0,46,,No comments/notes section in original data
hel,hel2,50,2008-07-25,2008-08-05,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,x,5,1,1,8,29,NA,29,0,NA,0,0,NA,0,76,,No comments/notes section in original data
hel,hel2,150,2008-07-25,2008-08-05,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,3,6,1,1,39,NA,39,0,NA,0,0,NA,0,40,,No comments/notes section in original data
hel,hel2,500,2008-07-25,2008-08-05,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,x,3,1,0,2,50,NA,50,0,NA,0,0,NA,0,96,,No comments/notes section in original data
myv,btl,5,2008-07-26,2008-08-07,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,15,0,0,6,25,NA,25,1,NA,18,4,NA,0,253,,No comments/notes section in original data
myv,btl,50,2008-07-26,2008-08-07,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,2,4,9,56,NA,56,1,NA,0,1,NA,0,29,,No comments/notes section in original data
myv,btl,150,2008-07-26,2008-08-07,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1,88,0,3,1,99,NA,99,2,NA,0,0,NA,0,36,,No comments/notes section in original data
myv,kal,5,2008-07-26,2008-08-07,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,21,0,0,46,153,NA,153,0,NA,10,0,NA,0,48,,No comments/notes section in original data
myv,kal,50,2008-07-26,2008-08-07,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,2,6,0,0,1,41,NA,41,0,NA,0,0,NA,0,49,,No comments/notes section in original data
myv,kal,150,2008-07-26,2008-08-07,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,13,0,2,8,348,NA,348,0,NA,1,0,NA,0,38,,No comments/notes section in original data
myv,non,5,2008-07-26,2008-08-07,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,24,0,0,4,41,NA,41,0,NA,13,9,NA,2,109,,No comments/notes section in original data
myv,non,50,2008-07-26,2008-08-07,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,22,0,5,4,52,NA,52,1,NA,3,0,NA,0,21,,No comments/notes section in original data
myv,non,150,2008-07-26,2008-08-07,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,6,3,2,1,0,152,NA,152,0,NA,1,0,NA,0,66,,No comments/notes section in original data
myv,hag,5,2008-07-26,2008-08-09,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,4,0,1,0,195,NA,195,3,NA,8,2,NA,7,29,,No comments/notes section in original data
myv,hag,50,2008-07-26,2008-08-09,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,2,3,4,3,5,137,NA,137,0,NA,0,0,NA,0,9,,No comments/notes section in original data
myv,hag,150,2008-07-26,2008-08-09,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1,1,3,3,0,143,NA,143,0,NA,0,0,NA,0,55,,No comments/notes section in original data
myv,hag,500,2008-07-26,2008-08-09,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,0,3,0,1,4,40,NA,40,0,NA,0,1,NA,0,20,,No comments/notes section in original data
hel,hel1,5,2009-05-24,2009-06-07,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,10,1,1,5,NA,NA,NA,0,0,0,1,NA,0,NA,,
hel,hel1,50,2009-05-24,2009-06-07,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,6,1,0,0,NA,NA,NA,0,0,0,0,NA,0,NA,,
hel,hel1,150,2009-05-24,2009-06-07,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0,12,3,2,1,NA,NA,NA,0,0,0,0,NA,0,NA,,
hel,hel1,500,2009-05-24,2009-06-07,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,28,1,0,28,NA,NA,NA,0,0,1,1,NA,0,NA,,
hel,hel2,5,2009-05-24,2009-06-07,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,10,0,0,11,NA,NA,NA,0,0,0,2,NA,0,NA,,
hel,hel2,50,2009-05-24,2009-06-07,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0,14,2,2,1,NA,NA,NA,0,0,0,0,NA,0,NA,,
hel,hel2,150,2009-05-24,2009-06-07,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,3,1,0,3,NA,NA,NA,0,0,0,0,NA,0,NA,,
hel,hel2,500,2009-05-24,2009-06-07,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,11,0,1,2,NA,NA,NA,0,0,0,0,NA,0,NA,,
myv,btl,5,2009-05-23,2009-06-09,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,43,0,0,10,NA,NA,NA,1,0,3,0,NA,0,NA,1 worm,
myv,btl,50,2009-05-23,2009-06-09,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,43,3,1,17,NA,NA,NA,1,8,3,6,NA,0,NA,,
myv,btl,150,2009-05-23,2009-06-09,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,0,17,1,10,13,NA,NA,NA,0,2,1,3,NA,0,NA,,
myv,hag,5,2009-05-24,2009-06-09,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,0,0,2,1,0,NA,NA,NA,0,0,1,1,NA,0,NA,,
myv,hag,50,2009-05-24,2009-06-09,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,0,4,2,4,0,NA,NA,NA,0,0,0,1,NA,0,NA,1 lep and a few mites,
myv,hag,150,2009-05-24,2009-06-09,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,0,21,9,8,4,NA,NA,NA,0,0,0,0,NA,0,NA,tons of red mites,
myv,hag,500,2009-05-24,2009-06-09,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,0,18,5,1,4,NA,NA,NA,0,0,0,2,NA,0,NA,Bombus,
myv,kal,5,2009-05-23,2009-06-09,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,15,0,0,9,NA,NA,NA,1,0,5,1,NA,0,NA,coleoptera removed,
myv,kal,50,2009-05-23,2009-06-09,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,0,14,12,6,1,NA,NA,NA,1,0,1,0,NA,0,NA,"coleoptera removed, 1 worm",
myv,kal,150,2009-05-23,2009-06-09,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0,7,8,1,3,NA,NA,NA,0,0,3,1,NA,0,NA,,
myv,non,5,2009-05-23,2009-06-09,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,22,1,0,1,NA,NA,NA,0,17,8,4,NA,0,NA,,
myv,non,50,2009-05-23,2009-06-09,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,20,1,2,0,NA,NA,NA,0,6,6,0,NA,0,NA,,
myv,non,150,2009-05-23,2009-06-09,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,0,8,6,4,1,NA,NA,NA,0,0,0,0,NA,0,NA,,
myv,vin,5,2009-05-23,2009-06-09,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,0,26,2,1,3,NA,NA,NA,0,2,2,3,NA,0,NA,,
myv,vin,50,2009-05-23,2009-06-09,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,0,9,0,1,4,NA,NA,NA,1,0,1,2,NA,0,NA,"1 lep, 1 annelid, weevil",
myv,vin,150,2009-05-23,2009-06-09,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0,5,2,2,3,NA,NA,NA,0,0,0,0,NA,0,NA,,
hel,hel1,5,2009-06-07,2009-06-22,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,3,1,0,2,NA,NA,NA,0,0,1,0,NA,0,NA,,
hel,hel1,50,2009-06-07,2009-06-22,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1,9,1,0,0,NA,NA,NA,0,0,0,1,NA,0,NA,,
hel,hel1,150,2009-06-07,2009-06-22,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,4,3,2,1,1,NA,NA,NA,0,0,0,0,NA,0,NA,,
hel,hel1,500,2009-06-07,2009-06-22,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3,0,1,2,NA,NA,NA,0,0,0,0,NA,0,NA,,
hel,hel2,5,2009-06-07,2009-06-22,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,0,1,3,0,10,NA,NA,NA,0,0,0,4,NA,0,NA,,
hel,hel2,50,2009-06-07,2009-06-22,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,0,1,7,2,0,NA,NA,NA,0,0,0,0,NA,0,NA,,
hel,hel2,150,2009-06-07,2009-06-22,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,1,2,1,0,NA,NA,NA,0,0,0,0,NA,0,NA,,
hel,hel2,500,2009-06-07,2009-06-22,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,0,4,2,1,1,NA,NA,NA,1,0,1,1,NA,0,NA,,
myv,btl,5,2009-06-09,2009-06-23,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,20,0,0,3,NA,NA,NA,0,0,1,1,NA,0,NA,,
myv,btl,50,2009-06-09,2009-06-23,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,1,0,3,3,NA,NA,NA,0,1,0,1,NA,0,NA,,
myv,btl,150,2009-06-09,2009-06-23,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,0,5,3,4,8,NA,NA,NA,2,0,1,5,NA,0,NA,,
myv,hag,5,2009-06-09,2009-06-23,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,1,0,3,1,0,NA,NA,NA,0,0,0,2,NA,0,NA,,
myv,hag,50,2009-06-09,2009-06-23,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,0,12,2,0,1,NA,NA,NA,0,0,0,2,NA,0,NA,,
myv,hag,150,2009-06-09,2009-06-23,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,3,8,4,3,3,NA,NA,NA,0,0,0,2,NA,0,NA,,
myv,hag,500,2009-06-09,2009-06-23,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,1,4,4,1,1,NA,NA,NA,0,0,0,5,NA,0,NA,,
myv,kal,5,2009-06-09,2009-06-23,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,13,0,1,4,NA,NA,NA,0,0,12,21,NA,0,NA,,
myv,kal,50,2009-06-09,2009-06-23,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1,2,6,1,1,NA,NA,NA,0,0,0,0,NA,0,NA,,
myv,kal,150,2009-06-09,2009-06-23,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1,0,13,3,0,NA,NA,NA,0,0,0,0,NA,0,NA,,
myv,non,5,2009-06-09,2009-06-23,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,NA,NA,0,4,3,16,NA,0,NA,,
myv,non,50,2009-06-09,2009-06-23,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,5,0,0,6,NA,NA,NA,2,0,0,1,NA,0,NA,,
myv,non,150,2009-06-09,2009-06-23,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,0,NA,,
myv,vin,5,2009-06-09,2009-06-23,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,2,9,0,1,7,NA,NA,NA,2,1,0,2,NA,0,NA,,
myv,vin,50,2009-06-09,2009-06-23,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,3,2,0,0,1,NA,NA,NA,0,0,0,2,NA,0,NA,,
myv,vin,150,2009-06-09,2009-06-23,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,2,0,0,1,2,NA,NA,NA,0,0,0,0,NA,0,NA,,
myv,btl,5,2009-06-23,2009-07-05,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,37,0,0,5,NA,NA,NA,0,0,1,1,NA,0,NA,54 saldids,
myv,btl,50,2009-06-23,2009-07-05,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,9,2,4,2,NA,NA,51,0,26,5,7,NA,0,NA,"1 sciarid, 1 cicadellid, some collembola",
myv,btl,150,2009-06-23,2009-07-05,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,3,1,0,4,0,NA,NA,179,0,3,0,4,NA,0,NA,"7 cicadellids, 2 brachy",
myv,hag,5,2009-06-23,2009-07-05,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,0,NA,"no sample, cup was out of ground and empty",
myv,hag,50,2009-06-23,2009-07-05,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,12,0,4,10,2,NA,NA,213,0,0,1,4,NA,0,NA,"6 brachy, 1 cicadellid",
myv,hag,150,2009-06-23,2009-07-05,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,6,6,2,3,0,NA,NA,570,0,0,0,0,NA,0,NA,,
myv,hag,500,2009-06-23,2009-07-05,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,12,10,1,2,3,NA,NA,NA,0,2,1,6,NA,0,NA,"1 hymenoptera, 347 mites (some big red)",
myv,kal,5,2009-06-23,2009-07-05,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,30,0,0,2,NA,NA,12,0,1,21,20,NA,0,NA,"1 apocrita, 37 saldids, 1 cicadellid, 18 orthroziids",
myv,kal,50,2009-06-23,2009-07-05,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,5,6,15,3,1,NA,NA,283,0,0,0,1,NA,0,NA,"1 tingid, 2 brachy, 9 cicadellids",
myv,kal,150,2009-06-23,2009-07-05,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,3,10,8,1,0,NA,NA,352,0,0,0,1,NA,0,NA,"2 tingids, several hymenoptera, 1 brachy",
