lakeid,trans,dist,setdate,coldate,daysout,trayweight,dw_tray,dw,fract_bgch,fract_smch,fract_simu,bgch,smch,simu,comments,comments.2
myv,non,150,2008-06-04,2008-06-10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Missing data??,"There is a comment with this entry that the data are missing, However, there is an entry for the same site/ transect/ set date with a collect date one day later. I have changed it so that it is this date. There are two other non missing datas with no dates given.; There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,non,150,2008-06-04,2008-06-10,7,NA,NA,NA,1,1,1,26,173,5,,"I have changed this collect date from 2008-06-11. There was missing data as the comment in the original data for the same set date/ transect/ distance.;There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel1,5,2008-06-03,2008-06-13,10,NA,NA,NA,1,1,1,12,82,8,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel1,50,2008-06-03,2008-06-13,10,NA,NA,NA,1,1,1,0,12,3,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel1,150,2008-06-03,2008-06-13,10,NA,NA,NA,1,1,1,1,15,3,found fallen on ground but not spilled,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel1,500,2008-06-03,2008-06-13,10,NA,NA,NA,1,1,1,1,12,8,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel2,5,2008-06-03,2008-06-13,10,NA,NA,NA,1,1,1,18,57,8,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel2,50,2008-06-03,2008-06-13,10,NA,NA,NA,1,1,1,7,28,21,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel2,150,2008-06-03,2008-06-13,10,NA,NA,NA,1,1,1,2,20,13,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel2,500,2008-06-03,2008-06-13,10,NA,NA,NA,1,1,1,4,22,10,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,btl,5,2008-06-09,2008-06-17,8,NA,NA,NA,1,1,1,32,8433.466845,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,btl,50,2008-06-09,2008-06-17,8,NA,NA,NA,1,1,1,104,5411.499436,4,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,btl,150,2008-06-09,2008-06-17,8,NA,NA,NA,1,1,1,65,2818.48929,12,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,flg,5,2008-06-09,2008-06-17,8,NA,NA,NA,1,1,1,17,116,2,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,flg,50,2008-06-09,2008-06-17,8,NA,NA,NA,1,1,1,29,74,5,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,flg,150,2008-06-09,2008-06-17,8,NA,NA,NA,1,1,1,14,13,1,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,flg,500,2008-06-09,2008-06-17,8,NA,NA,NA,1,1,1,2,10,1,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,5,2008-06-09,2008-06-17,8,NA,NA,NA,1,1,1,17,8900.756564,2,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,50,2008-06-09,2008-06-17,8,NA,NA,NA,1,1,1,93,9568.313307,9,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,150,2008-06-09,2008-06-17,8,NA,NA,NA,1,1,1,29,1384.191407,6,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,500,2008-06-09,2008-06-17,8,NA,NA,NA,1,1,1,145,48,4,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,kal,5,2008-06-10,2008-06-17,7,NA,NA,NA,1,1,1,15,1533.258174,57,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,kal,50,2008-06-10,2008-06-17,7,NA,NA,NA,1,1,1,39,1290.609702,63,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,kal,150,2008-06-10,2008-06-17,7,NA,NA,NA,1,1,1,121,781,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,non,5,2008-06-10,2008-06-17,7,NA,NA,NA,1,1,1,18,2151.446825,7,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,non,50,2008-06-10,2008-06-17,7,NA,NA,NA,1,1,1,27,2593.010147,4,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,non,150,2008-06-10,2008-06-17,7,NA,NA,NA,1,1,1,60,1766.253288,8,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,skf,5,2008-06-09,2008-06-17,8,NA,NA,NA,1,1,1,134,1054,9,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,skf,50,2008-06-09,2008-06-17,8,NA,NA,NA,1,1,1,214,369,1,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,skf,150,2008-06-09,2008-06-17,8,NA,NA,NA,1,1,1,123,134,5,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,skf,500,2008-06-09,2008-06-17,8,NA,NA,NA,1,1,1,56,53,4,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,vin,5,2008-06-09,2008-06-17,8,NA,NA,NA,1,1,1,55,1497.825737,7,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,vin,50,2008-06-09,2008-06-17,8,NA,NA,NA,1,1,1,104,443,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,vin,150,2008-06-09,2008-06-17,8,NA,NA,NA,1,1,1,132,111,2,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel1,5,2008-06-13,2008-06-25,12,NA,NA,NA,1,1,1,1,15,32,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel1,50,2008-06-13,2008-06-25,12,NA,NA,NA,1,1,1,0,7,15,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel1,150,2008-06-13,2008-06-25,12,NA,NA,NA,1,1,1,1,8,58,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel1,500,2008-06-13,2008-06-25,12,NA,NA,NA,1,1,1,0,3,11,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel2,5,2008-06-13,2008-06-25,12,NA,NA,NA,1,1,1,2,19,13,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel2,50,2008-06-13,2008-06-25,12,NA,NA,NA,1,1,1,0,11,29,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel2,150,2008-06-13,2008-06-25,12,NA,NA,NA,1,1,1,0,6,32,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel2,500,2008-06-13,2008-06-25,12,NA,NA,NA,1,1,1,0,3,18,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,btl,5,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,1,3449.179183,1,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,btl,50,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,7,1178.833392,1,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,btl,150,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,19,653.659997,3,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,flg,5,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,2,79,1,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,flg,50,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,2,26,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,flg,150,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,2,3,3,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,flg,500,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,0,1,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,5,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,1,3795.565577,5,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,50,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,12,1758.737317,4,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,150,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,4,148,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,500,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,2,28,4,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,kal,5,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,4,349,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,kal,50,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,11,154,3,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,kal,150,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,8,96,1,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,non,5,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,3,1105.921512,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,non,50,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,4,872.6877949,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,non,150,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,9,180,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,skf,5,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,2,492,3,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,skf,50,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,0,121,2,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,skf,150,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,0,31,2,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,skf,500,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,0,5,2,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,vin,5,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,6,299,2,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,vin,50,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,2,33,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,vin,150,2008-06-17,2008-06-26,9,NA,NA,NA,1,1,1,6,17,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,flg,5,2008-06-26,2008-07-07,11,NA,NA,NA,1,1,1,0,116,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,flg,50,2008-06-26,2008-07-07,11,NA,NA,NA,1,1,1,0,40,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,flg,150,2008-06-26,2008-07-07,11,NA,NA,NA,1,1,1,0,10,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,5,2008-06-26,2008-07-07,11,NA,NA,NA,1,1,1,0,199,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,50,2008-06-26,2008-07-07,11,NA,NA,NA,1,1,1,0,29,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,150,2008-06-26,2008-07-07,11,NA,NA,NA,1,1,1,0,105,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,500,2008-06-26,2008-07-07,11,NA,NA,NA,1,1,1,0,4,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,skf,5,2008-06-26,2008-07-07,11,NA,NA,NA,1,1,1,0,27,0,"28 marchflies, 3 others","There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,skf,50,2008-06-26,2008-07-07,11,NA,NA,NA,1,1,1,0,21,0,"6 marchflies, 4 others","There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,skf,150,2008-06-26,2008-07-07,11,NA,NA,NA,1,1,1,0,13,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,skf,500,2008-06-26,2008-07-07,11,NA,NA,NA,1,1,1,0,7,2,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,vin,5,2008-06-26,2008-07-07,11,NA,NA,NA,1,1,1,0,149,0,"13 marchflies, 11 others","There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,vin,50,2008-06-26,2008-07-07,11,NA,NA,NA,1,1,1,0,30,0,"18 marchflies, 11 harvestmen, 8 others","There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,vin,150,2008-06-26,2008-07-07,11,NA,NA,NA,1,1,1,0,15,0,"4 marchflies, 12 others","There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,btl,5,2008-06-26,2008-07-08,12,NA,NA,NA,1,1,1,0,49,0,"5 marchflies, 2 others","There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,btl,50,2008-06-26,2008-07-08,12,NA,NA,NA,1,1,1,0,73,1,"1 muskimorf, 6 marchflies","There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,btl,150,2008-06-26,2008-07-08,12,NA,NA,NA,1,1,1,0,25,0,1 marchfly and 1 unknown other,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,flg,500,2008-06-27,2008-07-08,11,NA,NA,NA,1,1,1,0,9,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,kal,5,2008-06-23,2008-07-08,15,NA,NA,NA,1,1,1,0,336,2,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,kal,50,2008-06-23,2008-07-08,15,NA,NA,NA,1,1,1,0,77,1,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,kal,150,2008-06-23,2008-07-08,15,NA,NA,NA,1,1,1,0,53,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,non,5,2008-06-26,2008-07-08,12,NA,NA,NA,1,1,1,0,360,0,"20 hemiptera, 3 harvestmen, 5 spiders","There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,non,50,2008-06-26,2008-07-08,12,NA,NA,NA,1,1,1,0,182,0,"2 spiders, 30 marchflies","There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,non,150,2008-06-26,2008-07-08,12,NA,NA,NA,1,1,1,0,35,0,other = muskimorf,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel1,5,2008-06-25,2008-07-10,15,NA,NA,NA,1,1,1,0,93,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel1,50,2008-06-25,2008-07-10,15,NA,NA,NA,1,1,1,0,31,20,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel1,150,2008-06-25,2008-07-10,15,NA,NA,NA,1,1,1,0,3,5,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel1,500,2008-06-25,2008-07-10,15,NA,NA,NA,1,1,1,0,6,5,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel2,5,2008-06-25,2008-07-10,15,NA,NA,NA,1,1,1,0,40,6,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel2,50,2008-06-25,2008-07-10,15,NA,NA,NA,1,1,1,0,102,0,"for the 10 July sample, we only counted ""midges"" ; also, ""others"" were 99% flies","There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel2,150,2008-06-25,2008-07-10,15,NA,NA,NA,1,1,1,0,6,5,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
hel,hel2,500,2008-06-25,2008-07-10,15,NA,NA,NA,1,1,1,0,21,4,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,btl,5,2008-07-08,2008-07-18,10,NA,NA,NA,1,1,1,0,208,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,btl,50,2008-07-08,2008-07-18,10,NA,NA,NA,1,1,1,0,100,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,btl,150,2008-07-08,2008-07-18,10,NA,NA,NA,1,1,1,0,56,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,flg,5,2008-07-07,2008-07-18,11,NA,NA,NA,1,1,1,0,177,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,flg,50,2008-07-07,2008-07-18,11,NA,NA,NA,1,1,1,0,124,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,flg,150,2008-07-07,2008-07-18,11,NA,NA,NA,1,1,1,0,14,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,flg,500,2008-07-07,2008-07-18,11,NA,NA,NA,1,1,1,0,20,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
myv,hag,5,2008-07-07,2008-07-18,11,NA,NA,NA,1,1,1,0,425,0,,"There was no subsample value given, but clearly some of these midge counts were calculated by a subsample. I have assigned a subsample value of 1 for all, because of this reason."
